Sum of Monthly Precipitation Total (millimetres),Column Labels,,,,,,,,,,,,,
Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,(blank),Grand Total
1986,0,77,30.5,4.4,132,190.8,227.3,134.9,61.7,43.2,30.6,7.4,,939.8
1987,1.6,0.3,13.4,94.6,78.3,179.1,206.6,76.7,58.7,31.7,43.1,51.7,,835.8
1988,0.2,0.5,18.8,65,179.6,246.2,217.7,110.4,110.6,61.3,43.9,7.5,,1061.7
1989,18.2,31.5,3,53.6,145.9,56.1,192,92,101,125.6,4.1,5.8,,828.8
1990,34.9,13,56.2,101.5,54.6,86.9,212.8,122,63.8,52.7,14.1,5.6,,818.1
1991,0.6,21.4,1.7,50.2,149.1,280.5,185.3,120.3,121.8,47.8,70,64.5,,1113.2
1992,1,194.9,75.9,32.8,86.1,237.3,137.4,205.1,69.1,23.5,89.9,10.4,,1163.4
1993,1.9,30.9,22.3,16.6,95.6,130.7,143,126.9,114.3,44,13.4,3.7,,743.3
1994,1.5,4.7,3.1,0.7,139.3,176.3,186.2,115.5,57.3,30.5,16.4,0,,731.5
1995,0,0.5,11.5,14,129.3,132.5,239.4,104.7,71.4,125.2,48.9,16,,893.4
1996,6.5,1.5,8,21.1,62,248,250.1,124.5,141.5,50.4,64.7,26.1,,1004.4
1997,1,7.3,64.8,30,98.9,134.2,121.2,145.6,84.7,35.8,11.1,0,,734.6
1998,2.2,0.5,54.4,14,73.9,154.1,87.6,162.3,133.3,61.6,54,13,,810.9
1999,34.4,0,23.8,8.2,97.5,190.2,129.5,133.2,117.5,98.5,7.8,11.4,,852
2000,103.7,1.1,17.4,60.8,46.3,132.7,335.4,143.3,62.5,7.1,17.8,0.2,,928.3
2001,0.5,0.7,8.8,9.4,121.4,53.8,196.9,135.6,137.8,38.6,29.8,8.6,,741.9
2002,7.2,1.2,6.6,72.4,71.8,198.6,163.2,96.8,70.7,57.2,24.5,2.4,,772.6
2003,1.8,7.8,67.2,91.6,99.8,166.2,164.2,147.8,104,21,42.4,1.6,,915.4
2004,0,5.6,1.6,15.2,114.4,143.2,141.6,176.4,33.6,41,45,4.2,,721.8
2005,0.6,2.6,32.4,38.2,210.4,276,71.4,124.2,108.4,47.8,17.8,11.2,,941
2006,38.8,16.2,8.2,30.2,27.6,40.8,89,155.2,45.4,30.8,23.6,7.8,,513.6
2007,18.2,4,8,66.8,65.6,84.2,225.4,119.8,117.8,64.4,3.2,22.6,,800
2008,0,78.4,12.8,113.8,92.6,179.8,217.6,21.8,103.2,40.2,83.2,18.8,,962.2
2009,0,11.6,3.6,3.8,55.6,191.2,151.4,141.8,105.4,12.4,46.4,0.2,,723.4
2010,0.6,1.6,51.6,43.8,90.2,57,119.4,77.8,37.4,17.4,8.8,9.4,,515
2011,28.2,0,18.4,36.8,80.2,203,158.2,138.8,142.8,,40.4,53.4,,900.2
2012,18,20.6,0.2,61.4,70.8,168.4,36,113.4,114.2,18,66.4,46,,733.4
2013,10.4,4.2,64,20.6,152,35.6,162.8,173,187.8,39,16.6,6.8,,872.8
2014,0.6,0,,,,,,,,,,,,0.6
(blank),,,,,,,,,,,,,,
Grand Total,332.6,539.6,688.2,1171.5,2820.8,4373.4,4768.6,3539.8,2677.7,1266.7,977.9,416.3,,23573.1
