Station_Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Site,Website
9257,2002,7.2,1.2,6.6,72.4,71.8,198.6,163.2,96.8,70.7,57.2,24.5,2.4,Forrestdale,http://www.bom.gov.au/climate/data/stations/
9257,2003,1.8,7.8,67.2,91.6,99.8,166.2,164.2,147.8,104,21,42.4,1.6,Forrestdale,http://www.bom.gov.au/climate/data/stations/
9257,2004,0,5.6,1.6,15.2,114.4,143.2,141.6,176.4,33.6,41,45,4.2,Forrestdale,http://www.bom.gov.au/climate/data/stations/
9257,2005,0.6,2.6,32.4,38.2,210.4,276,71.4,124.2,108.4,47.8,17.8,11.2,Forrestdale,http://www.bom.gov.au/climate/data/stations/
9257,2006,38.8,16.2,8.2,30.2,27.6,40.8,89,155.2,45.4,30.8,23.6,7.8,Forrestdale,http://www.bom.gov.au/climate/data/stations/
9257,2007,18.2,4,8,66.8,65.6,84.2,225.4,119.8,117.8,64.4,3.2,22.6,Forrestdale,http://www.bom.gov.au/climate/data/stations/
9257,2008,0,78.4,12.8,113.8,92.6,179.8,217.6,21.8,103.2,40.2,83.2,18.8,Forrestdale,http://www.bom.gov.au/climate/data/stations/
9257,2009,0,11.6,3.6,3.8,55.6,191.2,151.4,141.8,105.4,12.4,46.4,0.2,Forrestdale,http://www.bom.gov.au/climate/data/stations/
9257,2010,0.6,1.6,51.6,43.8,90.2,57,119.4,77.8,37.4,17.4,8.8,9.4,Forrestdale,http://www.bom.gov.au/climate/data/stations/
9257,2011,28.2,0,18.4,36.8,80.2,203,158.2,138.8,142.8,NA,40.4,53.4,Forrestdale,http://www.bom.gov.au/climate/data/stations/
9257,2012,18,20.6,0.2,61.4,70.8,168.4,36,113.4,114.2,18,66.4,46,Forrestdale,http://www.bom.gov.au/climate/data/stations/
9257,2013,10.4,4.2,64,20.6,152,35.6,162.8,173,187.8,39,16.6,6.8,Forrestdale,http://www.bom.gov.au/climate/data/stations/
9258,2002,3,1.6,3.2,77.4,60.4,179.6,166,94.6,47.8,53.6,21.6,3,Anketell,http://www.bom.gov.au/climate/data/stations/
9258,2003,3.4,5.2,43.8,110.4,117.2,199.8,184.4,129.6,123.2,25,31.2,1.6,Anketell,http://www.bom.gov.au/climate/data/stations/
9258,2004,0,1.6,0.4,22,115.4,145.2,144.4,185,46,50.6,44,5.2,Anketell,http://www.bom.gov.au/climate/data/stations/
9258,2005,0,2,19.6,41,200.2,251.6,86.8,136.2,125.2,78.6,15.6,15.2,Anketell,http://www.bom.gov.au/climate/data/stations/
9258,2006,54.6,5.2,9.2,30.6,27.9,31.4,116.2,154.6,50.6,26.4,22.2,3.6,Anketell,http://www.bom.gov.au/climate/data/stations/
9258,2007,21.6,4.6,11.8,60.8,68.6,117,218.8,126,103.4,86.2,7,22.4,Anketell,http://www.bom.gov.au/climate/data/stations/
9258,2008,0,90.4,8,112.2,79.6,190,233.4,23.6,89.6,39.6,73.2,25.4,Anketell,http://www.bom.gov.au/climate/data/stations/
9258,2009,2.4,9.2,9.2,4.8,53.8,183.4,158.2,133,133.2,13,56.4,0,Anketell,http://www.bom.gov.au/climate/data/stations/
9258,2010,0.4,1.6,49,51.2,81.6,69.4,137.8,81.6,43.8,23.4,10,10.4,Anketell,http://www.bom.gov.au/climate/data/stations/
9258,2011,32,0,0,35.2,92.2,166.4,195.2,115,104.2,47.2,49.4,53,Anketell,http://www.bom.gov.au/climate/data/stations/
9258,2012,48.4,16.6,0,70.2,83.2,156.4,37.6,111.8,107.4,17,56.4,55.8,Anketell,http://www.bom.gov.au/climate/data/stations/
9258,2013,19.6,2.8,84.6,22.4,156.6,49.2,146.2,164.8,184.6,39.8,11,0.6,Anketell,http://www.bom.gov.au/climate/data/stations/
